term,grade,sub_grade,home_ownership,verification_status,loan_status,earliest_cr_line,new_delinq_2yrs,new_inq_last_6mths,new_pub_rec
36 months,A,A3,RENT,Not Verified,Fully Paid,MAY2002,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Source Verified,Fully Paid,OCT1999,Not Delinquent,Low,good
36 months,A,A5,OWN,Not Verified,Fully Paid,NOV1999,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Source Verified,Fully Paid,JAN1987,Not Delinquent,Low,good
60 months,B,B2,OWN,Verified,Charged Off,SEP1962,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,JUL2000,Not Delinquent,No Inquiries,good
60 months,F,F1,MORTGAGE,Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,APR1992,Delinquent,Low,good
60 months,D,D3,MORTGAGE,Verified,Fully Paid,DEC1992,Not Delinquent,No Inquiries,good
60 months,E,E1,RENT,Source Verified,Fully Paid,JUN1994,Not Delinquent,Low,good
36 months,D,D4,RENT,Not Verified,Fully Paid,OCT1999,Delinquent,No Inquiries,good
36 months,A,A1,RENT,Source Verified,Fully Paid,JAN1984,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Not Verified,Fully Paid,JUL2001,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Source Verified,Charged Off,NOV2001,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Fully Paid,AUG1990,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Source Verified,Fully Paid,DEC1990,Not Delinquent,Low,good
36 months,B,B5,RENT,Verified,Fully Paid,FEB1988,Delinquent,No Inquiries,good
60 months,B,B3,OWN,Not Verified,Fully Paid,OCT2003,Not Delinquent,No Inquiries,good
36 months,C,C2,MORTGAGE,Verified,Fully Paid,DEC1999,Delinquent,No Inquiries,good
60 months,D,D2,MORTGAGE,Verified,Fully Paid,DEC1984,Not Delinquent,High,good
36 months,B,B5,RENT,Not Verified,Fully Paid,JAN1999,Delinquent,Low,good
60 months,D,D5,MORTGAGE,Source Verified,Fully Paid,SEP2000,Not Delinquent,No Inquiries,moderate
60 months,A,A5,MORTGAGE,Verified,Fully Paid,DEC1982,Not Delinquent,No Inquiries,good
36 months,A,A3,MORTGAGE,Source Verified,Fully Paid,JUL1980,Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,NOV1994,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Source Verified,Fully Paid,JAN1997,Not Delinquent,Low,good
36 months,A,A1,OWN,Source Verified,Fully Paid,SEP1998,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Charged Off,AUG1997,Not Delinquent,No Inquiries,good
60 months,B,B1,RENT,Source Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,A,A3,MORTGAGE,Verified,Fully Paid,APR1986,Not Delinquent,Low,good
60 months,F,F3,MORTGAGE,Verified,Fully Paid,DEC2003,Not Delinquent,Low,good
36 months,C,C5,RENT,Not Verified,Fully Paid,MAY2005,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Verified,Charged Off,OCT1995,Not Delinquent,Low,good
60 months,D,D5,OWN,Source Verified,Charged Off,OCT2006,Delinquent,Low,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,AUG1994,Not Delinquent,No Inquiries,moderate
60 months,G,G3,MORTGAGE,Verified,Fully Paid,AUG1997,Not Delinquent,No Inquiries,good
60 months,G,G3,RENT,Source Verified,Charged Off,MAY2001,Delinquent,Low,good
60 months,B,B2,MORTGAGE,Source Verified,Fully Paid,JUL2001,Not Delinquent,Low,good
36 months,B,B4,RENT,Not Verified,Fully Paid,SEP2002,Not Delinquent,Low,good
60 months,E,E4,MORTGAGE,Verified,Fully Paid,JUL1998,Not Delinquent,Low,good
36 months,A,A2,RENT,Not Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
60 months,F,F4,MORTGAGE,Verified,Charged Off,MAR2000,Delinquent,Low,good
60 months,G,G4,MORTGAGE,Verified,Fully Paid,MAY1992,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,OCT1998,Delinquent,No Inquiries,moderate
36 months,A,A1,RENT,Source Verified,Fully Paid,MAR1999,Not Delinquent,No Inquiries,good
36 months,A,A4,OWN,Source Verified,Fully Paid,SEP1998,Delinquent,No Inquiries,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,AUG1994,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,JAN2002,Not Delinquent,Low,good
36 months,B,B2,RENT,Source Verified,Fully Paid,DEC1980,Not Delinquent,Low,good
36 months,B,B4,RENT,Not Verified,Fully Paid,OCT2000,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Fully Paid,APR1998,Not Delinquent,Low,good
36 months,B,B4,RENT,Source Verified,Charged Off,FEB2005,Not Delinquent,Low,good
36 months,A,A5,RENT,Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
60 months,F,F1,MORTGAGE,Verified,Fully Paid,JUL1989,Delinquent,Low,good
36 months,A,A4,RENT,Verified,Fully Paid,FEB1990,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,AUG1995,Not Delinquent,Low,good
36 months,D,D1,RENT,Not Verified,Fully Paid,OCT2002,Not Delinquent,Low,good
60 months,C,C5,MORTGAGE,Verified,Fully Paid,SEP1993,Not Delinquent,Low,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,AUG1987,Not Delinquent,Low,good
36 months,B,B4,RENT,Not Verified,Fully Paid,SEP1999,Not Delinquent,Low,good
36 months,D,D4,RENT,Source Verified,Fully Paid,MAY2005,Not Delinquent,Low,good
36 months,A,A1,RENT,Not Verified,Fully Paid,AUG2000,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Source Verified,Fully Paid,DEC1994,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Verified,Fully Paid,NOV1998,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,JUL1999,Not Delinquent,Low,good
36 months,D,D3,MORTGAGE,Source Verified,Fully Paid,AUG2004,Not Delinquent,No Inquiries,good
36 months,D,D1,OWN,Verified,Fully Paid,DEC1990,Not Delinquent,Low,good
36 months,A,A2,RENT,Not Verified,Charged Off,JAN1995,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Verified,Fully Paid,SEP2002,Not Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,APR2001,Not Delinquent,No Inquiries,good
60 months,B,B2,MORTGAGE,Verified,Charged Off,JUN1981,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Source Verified,Charged Off,JUN1998,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Not Verified,Fully Paid,JUL2005,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Source Verified,Fully Paid,AUG1989,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Verified,Fully Paid,APR2001,Delinquent,No Inquiries,good
36 months,B,B5,RENT,Source Verified,Fully Paid,JAN2007,Not Delinquent,Low,good
60 months,C,C1,RENT,Verified,Fully Paid,MAY2006,Not Delinquent,No Inquiries,good
36 months,D,D2,MORTGAGE,Source Verified,Fully Paid,JUN1997,Not Delinquent,No Inquiries,good
36 months,D,D1,RENT,Not Verified,Fully Paid,JUN1984,Delinquent,Low,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,FEB1992,Delinquent,Low,good
36 months,A,A5,RENT,Not Verified,Charged Off,APR1998,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Not Verified,Fully Paid,OCT2007,Not Delinquent,Low,good
36 months,B,B1,OWN,Not Verified,Fully Paid,OCT1991,Delinquent,Low,good
60 months,D,D2,MORTGAGE,Source Verified,Charged Off,AUG2006,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,MAR2004,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
60 months,B,B4,RENT,Verified,Fully Paid,SEP2002,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,JUN1982,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,MAY1994,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,AUG1979,Not Delinquent,No Inquiries,good
36 months,D,D1,RENT,Not Verified,Fully Paid,APR2008,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Verified,Fully Paid,SEP1995,Not Delinquent,Low,good
60 months,B,B5,RENT,Verified,Fully Paid,APR1998,Not Delinquent,No Inquiries,good
60 months,B,B4,RENT,Verified,Fully Paid,FEB1984,Delinquent,No Inquiries,good
36 months,B,B1,MORTGAGE,Not Verified,Fully Paid,DEC1998,Not Delinquent,Low,good
60 months,C,C2,MORTGAGE,Verified,Fully Paid,DEC1995,Not Delinquent,High,good
60 months,F,F2,MORTGAGE,Verified,Fully Paid,SEP1994,Delinquent,Low,good
60 months,C,C1,MORTGAGE,Source Verified,Fully Paid,JUN1996,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,DEC1988,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Verified,Fully Paid,APR2003,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Fully Paid,MAR1990,Not Delinquent,No Inquiries,good
60 months,D,D3,MORTGAGE,Verified,Fully Paid,APR1996,Not Delinquent,Low,good
36 months,C,C1,RENT,Source Verified,Fully Paid,MAY2003,Not Delinquent,Low,good
36 months,E,E4,RENT,Not Verified,Charged Off,MAR2001,Not Delinquent,No Inquiries,good
60 months,B,B3,MORTGAGE,Not Verified,Fully Paid,FEB1986,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,MAY1995,Not Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,AUG1999,Not Delinquent,Low,good
36 months,C,C2,OWN,Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Verified,Charged Off,JUL2007,Not Delinquent,No Inquiries,good
60 months,C,C3,MORTGAGE,Verified,Fully Paid,JAN1997,Not Delinquent,Low,good
36 months,B,B2,MORTGAGE,Source Verified,Fully Paid,MAY1980,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Fully Paid,NOV2001,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,SEP1994,Not Delinquent,No Inquiries,good
60 months,B,B1,MORTGAGE,Verified,Fully Paid,AUG1983,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Source Verified,Fully Paid,JAN1987,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Not Verified,Fully Paid,APR2001,Not Delinquent,No Inquiries,good
36 months,E,E4,MORTGAGE,Verified,Fully Paid,AUG1986,Delinquent,No Inquiries,good
60 months,A,A5,MORTGAGE,Not Verified,Fully Paid,JAN1987,Not Delinquent,No Inquiries,good
36 months,D,D1,RENT,Verified,Fully Paid,MAR2003,Delinquent,Low,good
36 months,B,B5,RENT,Verified,Fully Paid,JUN2003,Not Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,AUG2000,Not Delinquent,High,good
60 months,C,C4,MORTGAGE,Source Verified,Fully Paid,JAN2004,Not Delinquent,Low,good
36 months,A,A2,RENT,Verified,Fully Paid,FEB2003,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Not Verified,Fully Paid,OCT1998,Not Delinquent,No Inquiries,good
60 months,C,C4,MORTGAGE,Verified,Fully Paid,DEC1993,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,SEP2000,Not Delinquent,No Inquiries,good
60 months,B,B3,MORTGAGE,Verified,Fully Paid,MAY1995,Not Delinquent,No Inquiries,good
60 months,D,D3,RENT,Source Verified,Fully Paid,FEB1999,Not Delinquent,Low,moderate
36 months,D,D2,RENT,Source Verified,Fully Paid,JUL2007,Not Delinquent,Low,good
60 months,B,B1,MORTGAGE,Not Verified,Fully Paid,AUG1989,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Fully Paid,OCT1999,Not Delinquent,Low,moderate
60 months,E,E3,MORTGAGE,Verified,Fully Paid,AUG1996,Delinquent,Low,good
36 months,A,A4,OWN,Verified,Fully Paid,JUL1998,Not Delinquent,Low,good
36 months,C,C3,RENT,Not Verified,Fully Paid,JUN2005,Not Delinquent,Low,good
60 months,C,C2,MORTGAGE,Verified,Fully Paid,OCT1995,Not Delinquent,No Inquiries,good
60 months,B,B3,MORTGAGE,Not Verified,Charged Off,OCT1990,Not Delinquent,No Inquiries,good
36 months,B,B3,OWN,Not Verified,Fully Paid,OCT1999,Not Delinquent,No Inquiries,good
60 months,D,D2,RENT,Verified,Fully Paid,JUL1979,Not Delinquent,Low,good
60 months,D,D3,OWN,Source Verified,Charged Off,APR2000,Not Delinquent,Low,good
36 months,C,C4,MORTGAGE,Source Verified,Charged Off,JUL1995,Not Delinquent,Low,moderate
60 months,C,C4,RENT,Not Verified,Charged Off,OCT1997,Delinquent,Low,good
36 months,A,A1,RENT,Source Verified,Fully Paid,SEP1988,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,APR1987,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,MAR1998,Delinquent,Low,good
36 months,B,B2,RENT,Source Verified,Fully Paid,MAY2001,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Not Verified,Fully Paid,DEC1999,Not Delinquent,No Inquiries,good
60 months,D,D2,MORTGAGE,Source Verified,Fully Paid,OCT1993,Not Delinquent,No Inquiries,good
36 months,B,B3,OWN,Verified,Fully Paid,OCT2006,Not Delinquent,No Inquiries,good
60 months,B,B4,MORTGAGE,Verified,Fully Paid,FEB1992,Not Delinquent,Low,good
60 months,E,E5,RENT,Verified,Fully Paid,JAN1982,Not Delinquent,No Inquiries,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,AUG2003,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,JUL1984,Not Delinquent,Low,good
36 months,A,A2,RENT,Not Verified,Fully Paid,JUL2001,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Source Verified,Fully Paid,JUN2007,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Source Verified,Fully Paid,JUN1991,Not Delinquent,Low,good
36 months,B,B3,RENT,Verified,Charged Off,SEP2002,Not Delinquent,High,good
60 months,D,D2,MORTGAGE,Not Verified,Fully Paid,JAN1994,Not Delinquent,Low,good
36 months,A,A4,RENT,Source Verified,Fully Paid,JAN1999,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Not Verified,Fully Paid,JAN1993,Not Delinquent,Low,good
36 months,A,A2,OWN,Source Verified,Fully Paid,MAY2001,Not Delinquent,Low,good
60 months,E,E2,MORTGAGE,Source Verified,Fully Paid,JAN1994,Delinquent,Low,good
36 months,E,E3,RENT,Not Verified,Fully Paid,OCT2003,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,JUN1984,Not Delinquent,Low,good
60 months,C,C3,MORTGAGE,Source Verified,Charged Off,OCT1994,Not Delinquent,Low,good
36 months,C,C2,RENT,Source Verified,Charged Off,AUG1996,Not Delinquent,Low,good
36 months,D,D2,RENT,Verified,Fully Paid,OCT2007,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,JAN2001,Not Delinquent,Low,good
60 months,B,B4,RENT,Not Verified,Fully Paid,OCT1995,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Source Verified,Fully Paid,OCT1999,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Source Verified,Fully Paid,MAR1976,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Verified,Fully Paid,JUN1985,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Not Verified,Fully Paid,DEC1999,Not Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,FEB1998,Not Delinquent,High,good
60 months,C,C3,MORTGAGE,Verified,Charged Off,FEB1995,Not Delinquent,Low,good
36 months,A,A1,RENT,Source Verified,Fully Paid,OCT1996,Not Delinquent,No Inquiries,good
36 months,A,A3,OWN,Not Verified,Fully Paid,MAR1987,Not Delinquent,High,good
36 months,C,C4,RENT,Verified,Fully Paid,JUL1970,Not Delinquent,Low,moderate
60 months,C,C4,MORTGAGE,Verified,Fully Paid,JUL1993,Not Delinquent,Low,good
36 months,C,C5,MORTGAGE,Not Verified,Fully Paid,OCT1994,Not Delinquent,Low,good
36 months,A,A3,RENT,Not Verified,Fully Paid,APR2006,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Source Verified,Fully Paid,MAR1995,Not Delinquent,Low,good
36 months,D,D1,RENT,Not Verified,Fully Paid,OCT2002,Delinquent,Low,good
60 months,C,C2,RENT,Verified,Fully Paid,OCT1997,Not Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Fully Paid,FEB2002,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Not Verified,Fully Paid,DEC1993,Not Delinquent,Low,good
36 months,D,D3,OWN,Source Verified,Fully Paid,JUL2005,Not Delinquent,No Inquiries,good
60 months,D,D4,MORTGAGE,Source Verified,Charged Off,OCT1994,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,SEP1999,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Verified,Fully Paid,MAR1998,Not Delinquent,No Inquiries,good
60 months,D,D3,OWN,Source Verified,Charged Off,JUL2007,Not Delinquent,Low,good
60 months,C,C1,MORTGAGE,Verified,Fully Paid,MAY1987,Not Delinquent,Low,good
36 months,C,C1,RENT,Verified,Charged Off,MAR2007,Not Delinquent,Low,good
60 months,D,D3,RENT,Verified,Fully Paid,JUL2001,Not Delinquent,Low,moderate
60 months,C,C3,RENT,Source Verified,Fully Paid,SEP2002,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,NOV2001,Not Delinquent,Low,moderate
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,FEB1985,Delinquent,No Inquiries,good
36 months,C,C4,OWN,Source Verified,Fully Paid,JUN2003,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,SEP2001,Not Delinquent,No Inquiries,good
60 months,C,C1,RENT,Not Verified,Charged Off,APR2000,Delinquent,No Inquiries,good
36 months,C,C4,RENT,Not Verified,Fully Paid,JAN2008,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Charged Off,JUN2006,Not Delinquent,Low,good
60 months,C,C4,MORTGAGE,Source Verified,Fully Paid,MAY1996,Not Delinquent,Low,good
36 months,C,C2,RENT,Not Verified,Fully Paid,SEP2006,Delinquent,No Inquiries,good
60 months,C,C1,RENT,Not Verified,Fully Paid,APR2005,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Source Verified,Fully Paid,NOV2003,Not Delinquent,No Inquiries,good
36 months,A,A5,OWN,Not Verified,Fully Paid,MAR1993,Not Delinquent,Low,good
36 months,A,A5,RENT,Source Verified,Fully Paid,AUG2002,Not Delinquent,Low,good
36 months,A,A5,OWN,Source Verified,Charged Off,AUG2001,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Not Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Not Verified,Fully Paid,JUN1998,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,FEB2004,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Not Verified,Fully Paid,MAY2000,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Verified,Fully Paid,SEP1993,Not Delinquent,Low,moderate
60 months,E,E2,MORTGAGE,Verified,Fully Paid,NOV1994,Not Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Fully Paid,JAN1994,Not Delinquent,No Inquiries,good
60 months,A,A4,RENT,Not Verified,Fully Paid,AUG2002,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Not Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Source Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
36 months,B,B1,RENT,Source Verified,Fully Paid,NOV2001,Not Delinquent,No Inquiries,good
60 months,D,D4,RENT,Source Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,JUN1996,Not Delinquent,No Inquiries,good
60 months,E,E1,MORTGAGE,Verified,Charged Off,SEP1997,Not Delinquent,No Inquiries,good
60 months,D,D2,RENT,Verified,Fully Paid,JUN1988,Not Delinquent,Low,moderate
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,NOV2003,Not Delinquent,No Inquiries,good
60 months,C,C3,MORTGAGE,Verified,Charged Off,JAN1998,Not Delinquent,Low,good
36 months,B,B2,MORTGAGE,Verified,Fully Paid,FEB1994,Not Delinquent,Low,good
36 months,A,A4,RENT,Verified,Fully Paid,SEP1989,Not Delinquent,Low,good
36 months,A,A1,RENT,Source Verified,Fully Paid,DEC1989,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Source Verified,Fully Paid,AUG1998,Not Delinquent,High,good
36 months,B,B4,MORTGAGE,Source Verified,Fully Paid,NOV1999,Not Delinquent,Low,good
36 months,C,C1,OWN,Not Verified,Charged Off,MAR2005,Not Delinquent,Low,good
60 months,B,B4,MORTGAGE,Not Verified,Charged Off,AUG2001,Not Delinquent,Low,good
36 months,B,B2,RENT,Verified,Fully Paid,JAN1987,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Source Verified,Fully Paid,OCT1994,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,JAN1996,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,JAN1995,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Charged Off,MAR1999,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Fully Paid,NOV2001,Not Delinquent,No Inquiries,good
36 months,A,A2,OWN,Not Verified,Fully Paid,APR2005,Not Delinquent,No Inquiries,good
60 months,C,C1,MORTGAGE,Not Verified,Fully Paid,NOV2001,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,MAY1997,Not Delinquent,Low,moderate
36 months,D,D1,MORTGAGE,Not Verified,Fully Paid,APR2000,Not Delinquent,Low,good
36 months,C,C1,MORTGAGE,Verified,Fully Paid,MAR1994,Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,FEB1992,Not Delinquent,No Inquiries,good
60 months,C,C1,MORTGAGE,Verified,Fully Paid,JUN1988,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Verified,Charged Off,FEB1993,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Source Verified,Fully Paid,OCT2004,Not Delinquent,Low,good
36 months,B,B5,OWN,Source Verified,Fully Paid,JAN2008,Not Delinquent,No Inquiries,good
60 months,B,B3,RENT,Source Verified,Charged Off,NOV1997,Not Delinquent,No Inquiries,good
60 months,D,D4,MORTGAGE,Verified,Fully Paid,DEC1997,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Source Verified,Fully Paid,AUG1998,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Verified,Fully Paid,NOV1996,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Source Verified,Fully Paid,APR1999,Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Charged Off,SEP1973,Not Delinquent,Low,good
60 months,E,E1,OWN,Not Verified,Fully Paid,DEC1997,Delinquent,Low,moderate
60 months,C,C1,MORTGAGE,Not Verified,Fully Paid,MAY2004,Not Delinquent,Low,good
36 months,B,B3,OWN,Source Verified,Fully Paid,OCT2007,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,SEP1999,Not Delinquent,No Inquiries,good
36 months,D,D3,RENT,Verified,Fully Paid,OCT1997,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,AUG1998,Not Delinquent,Low,good
36 months,A,A1,OWN,Not Verified,Fully Paid,MAR1988,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Charged Off,DEC1993,Not Delinquent,Low,good
36 months,C,C5,MORTGAGE,Verified,Fully Paid,FEB2005,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Source Verified,Fully Paid,SEP1993,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Source Verified,Charged Off,FEB1997,Not Delinquent,Low,good
60 months,C,C4,RENT,Source Verified,Charged Off,AUG1978,Not Delinquent,Low,good
60 months,E,E4,RENT,Not Verified,Charged Off,NOV2006,Not Delinquent,Low,good
60 months,D,D2,MORTGAGE,Source Verified,Fully Paid,JAN2004,Not Delinquent,No Inquiries,bad
60 months,D,D5,RENT,Source Verified,Fully Paid,MAR1998,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Verified,Fully Paid,JUN1996,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Verified,Fully Paid,OCT2003,Not Delinquent,No Inquiries,good
36 months,D,D4,MORTGAGE,Not Verified,Charged Off,MAR1979,Delinquent,No Inquiries,good
60 months,C,C3,RENT,Source Verified,Fully Paid,APR1998,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,FEB1991,Not Delinquent,No Inquiries,good
60 months,D,D3,RENT,Verified,Charged Off,SEP1996,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Not Verified,Charged Off,MAY1995,Not Delinquent,No Inquiries,moderate
36 months,A,A4,RENT,Not Verified,Fully Paid,DEC2000,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Source Verified,Fully Paid,SEP2003,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Not Verified,Fully Paid,OCT2001,Not Delinquent,Low,good
36 months,C,C2,RENT,Not Verified,Fully Paid,AUG1997,Not Delinquent,Low,good
36 months,A,A4,OWN,Verified,Fully Paid,MAR1986,Not Delinquent,No Inquiries,good
36 months,D,D3,RENT,Source Verified,Charged Off,FEB2001,Not Delinquent,Low,good
60 months,B,B2,RENT,Verified,Fully Paid,MAY1990,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,OCT1992,Not Delinquent,No Inquiries,good
36 months,E,E2,MORTGAGE,Not Verified,Fully Paid,MAY2000,Not Delinquent,Low,moderate
36 months,B,B5,MORTGAGE,Verified,Charged Off,SEP1991,Not Delinquent,No Inquiries,good
